category_title,product_id,supplier_id,product_name,unit_price,supplier_name,qty,min_qty
類比-IC,AX3112,AXElite,DC-DC Converter,270,亞瑟萊特,22280,3145
類比-IC,AX3701,AXElite,Car Charging IC,296,亞瑟萊特,3870,4492
類比-IC,AnD8400,AnDAPT,AnDAPT Adaptable PMIC,104,AnDAPT,28938,1930
積體電路-IC,ANX7443,Analogix,10G Active Mux (6x4) with Integrated Re-timers for USB3.2/DisplayPort1.4,209,矽谷數模半導體公司,7569,2628
積體電路-IC,"PT4161L, PT5161L",Astera Labs,Smart Retimer,271,Astera Labs,17132,1283
記憶體,,Avalanche Technology,Embedded MRAM,240,Avalanche Technology,14619,2875
記憶體,,Avalanche Technology,Discrete MRAM,104,Avalanche Technology,3907,2668
嵌入式模組,G6_Sensor Pamphlet,BARAJA,光譜掃描激光雷達,58,BARAJA,7467,3869
嵌入式模組,G6_Sensor Pamphlet,BARAJA,光譜掃描激光雷達,230,BARAJA,3763,759
積體電路-IC,BOS1901,Boréas Technologies,Piezo Haptic Driver,238,博亞斯科技,14724,2733
記憶體,DDR4,CXMT,DRAM,270,長鑫存儲技術有限公司,23492,3541
類比-IC,CY2332 / CY6572,Canyon Semiconductor,USB PD充電器 / 車充模組,10,耕源科技,26816,1643
類比-IC,CL8040,Celeno,Wi-Fi 6 (802.11ax) R2 Concurrent Dual Band 4T4R PCIe Chip,29,Celeno,18465,4785
類比-IC,CL8046,Celeno,Wi-Fi 6E (802.11ax) Concurrent Dual Transceivers 4T4R PCIe Chip,71,Celeno,21578,632
類比-IC,CL8060,Celeno,Wi-Fi 6 (802.11ax) R2 Concurrent Dual Band 6T6R PCIe Chip,115,Celeno,29672,4707
類比-IC,CL8066,Celeno,Wi-Fi 6E (802.11ax) Concurrent Dual Transceivers 6T6R PCIe Chip,104,Celeno,29999,4655
類比-IC,CL8080,Celeno,Wi-Fi 6 (802.11ax) R2 Concurrent Dual Band 8T8R PCIe Chip,225,Celeno,11658,1903
微型組件,CFD30201,Credo,Seagull 110 Optical DSP,181,默升科技,18183,1062
微型組件,CFD60801,Credo,SEAGULL XR8 Optical DSP,163,默升科技,2289,965
微型組件,"Seagull 50, Seagull 200",Credo,Optical DSP,56,默升科技,27761,4946
連接器,Bald Eagle Retimer,Credo,Backplane & Line Card Connectivity,156,默升科技,4112,1963
連接器,Raptor 100 DSP,Credo,Optical Connectivity,248,默升科技,633,3499
軟體類,000,Cyberlink,FaceMe® Security,50,訊連科技,20475,4514
軟體類,000,Cyberlink,FaceMe® AI 臉部辨識引擎 (SDK),295,訊連科技,23379,3578
軟體類,000,Cyberlink,FaceMe® Health,200,訊連科技,23763,3509
嵌入式模組,Nano RFID modules (LF or HF),ELATEC,單頻RFID模組,65,ELATEC,3571,982
嵌入式模組,Nano RFID modules (LF or HF),ELATEC,單頻RFID模組,31,ELATEC,25375,4217
嵌入式模組,TWN4 Family (HF and LF),ELATEC,多頻RFID模組,52,ELATEC,25492,3248
嵌入式模組,TWN4 Family (HF and LF),ELATEC,多頻RFID模組,42,ELATEC,23330,2338
微型組件,"FT9371, FT9362",FocalTech,Capacitive Fingerprint Sensor,157,敦泰電子股份有限公司,26396,518
微型組件,Smart Phone Application,FocalTech,Capacitive Touch Controller,109,敦泰電子股份有限公司,7963,3913
積體電路-IC,,FocalTech,TFT-LCD Driver,199,敦泰電子股份有限公司,16144,3700
電池,AA & AAA $ SC  cell,GP,Rechargeable Batteries-NiMH,108,金山電池國際有限公司,10115,2536
電池,CR123A,GP,GP Primary Lithium,227,金山電池國際有限公司,20145,4195
電池,CR2025,GP,鈕型電池 / 鈕扣電池,95,金山電池國際有限公司,4695,4798
電池,GP Supercell Carbon Zinc AA,GP,Primary Batteries,117,金山電池國際有限公司,23377,4385
電池,Mini-Lithium Series,GP,Rechargeable Batteries-Lithium,225,金山電池國際有限公司,9467,2714
記憶體,GD25xx,GigaDevice,SPI Nor Flash,35,北京兆易創新科技股份有限公司,5991,4112
記憶體,GD5Fxx,GigaDevice,SPI NAND Flash,135,北京兆易創新科技股份有限公司,7698,1520
嵌入式模組,HSD050GDW1-B00-P,Hannstar,5-inch PND/Car Display,48,瀚宇彩晶,28164,3266
嵌入式模組,HSD050GDW1-B00-P,Hannstar,5-inch PND/Car Display,158,瀚宇彩晶,8712,1846
類比-IC,IP6505,Injoinic,Synchronous-Rectified Buck Converter,269,英集芯科技,12680,4311
類比-IC,IP6806,Injoinic,Wireless charger IC,259,英集芯科技,14228,3962
嵌入式模組,N116BCA,Innolux,11.6” TFT Liquid Crystal Display NB module,265,群創光電股份有限公司,20809,1266
嵌入式模組,N116BCA,Innolux,11.6” TFT Liquid Crystal Display NB module,211,群創光電股份有限公司,3073,1439
軟體類,000,Innoviz,Perception Software,262,Innoviz,4623,784
離散式元件,2N3904,KEC,Bipolar Transistor,245,台灣開益喜股份有限公司,16723,1374
離散式元件,KMA2D4P20SA,KEC,MOSFET,217,台灣開益喜股份有限公司,6149,1829
離散式元件,MBRD10U200CT,KEC,Diode,119,台灣開益喜股份有限公司,22311,2153
記憶體,,Kingston Technology,伺服器記憶體 – 適用於資料中心的 DRAM,156,金士頓,4577,1876
記憶體,,Kingston Technology,Canvas Select Plus microSD 記憶卡,263,金士頓,667,3927
記憶體,KSM32RS8/16MER,Kingston Technology,Memory Module,24,金士頓,22086,528
機電產品,IA611,Knowles,SmartMic,201,樓氏電子有限公司,3329,4718
機電產品,SPH1644LM4H-1,Knowles,Multimode Digital Bottom Port Sisonictm Microphone,151,樓氏電子有限公司,25296,4457
光電產品,"SFP,QSFP,OSFP",LUXSHARE ICT,10G SFP+ Direct Attached Cable Assembly,225,立訊精密,12774,1364
積體電路-IC,,Lattice,iCE40 Ultra/ UltraLite/UltraPlus,287,美商萊迪思半導體股份有限公司,9267,2204
積體電路-IC,,Lattice,iCE40 LP/HX/LM,228,美商萊迪思半導體股份有限公司,23891,4025
積體電路-IC,ECP2/M,Lattice,ECP,187,美商萊迪思半導體股份有限公司,4223,517
積體電路-IC,ECP3,Lattice,ECP,89,美商萊迪思半導體股份有限公司,25148,1739
積體電路-IC,LCMXO2-4000HC-4BG256I,Lattice,MachXO2 - Flexible Interface Bridging FPGA,12,美商萊迪思半導體股份有限公司,7562,3023
積體電路-IC,MachXO,Lattice,Mach,217,美商萊迪思半導體股份有限公司,4591,1274
積體電路-IC,MachXO2,Lattice,Mach,204,美商萊迪思半導體股份有限公司,23999,1421
